,,Crayfish,Plants,P.clarkii,O.rusticus,O.immunis,O.virilis,P.zonangulus,M.spicatum,P.crispus,P.perfoliatus
41.83825702,-87.60577097,1,1,0,1,0,0,0,1,0,1
41.50406,-87.36216,1,0,0,1,0,0,0,0,0,0
42.1502,-87.7908,1,1,0,1,0,1,0,1,1,0
41.810552,-87.576176,1,0,0,1,0,0,0,0,0,0
41.65054103,-87.61712501,1,0,0,1,0,0,0,0,0,0
41.63834997,-87.57432902,1,1,0,1,0,0,0,1,1,0
42.04608698,-87.67143597,1,0,0,1,0,0,0,0,0,0
42.03917703,-87.66949598,1,0,0,1,0,0,0,0,0,0
41.93225797,-87.63351901,1,0,0,1,0,1,0,0,0,0
41.88652899,-87.61079902,1,1,0,1,0,0,0,1,0,0
42.05837997,-87.771577,1,0,0,0,1,0,0,0,0,0
41.83548597,-87.5705,1,0,0,1,0,1,0,0,0,0
41.77709796,-87.57306696,1,1,1,1,0,1,0,1,0,0
42.032571,-87.669083,1,0,0,1,0,0,0,0,0,0
41.97761597,-87.73928404,1,0,0,1,1,1,1,0,0,0
42.00020604,-87.65581998,1,0,0,1,0,0,0,0,0,0
41.88044298,-87.61648698,1,0,0,1,0,0,0,0,0,0
42.02867199,-87.79222003,1,0,0,1,1,0,0,0,0,0
41.95497,-87.6945,1,1,1,0,0,0,0,1,0,0
41.98559,-87.7076,1,1,1,1,0,0,0,1,0,0
-87.70983498,42.03237704,0,1,0,0,0,0,0,1,0,0
42.06649801,-87.68644402,1,1,0,1,0,0,0,1,0,0
-87.83286497,42.30786304,0,1,0,0,0,0,0,0,0,1
42.11392097,-87.77501098,1,0,0,0,0,1,0,0,0,0
42.114328,-87.769533,1,1,0,0,0,1,0,1,1,0
41.80761,-87.545587,1,0,0,1,0,0,0,0,0,0
42.07661798,-87.68238802,1,1,1,1,0,0,0,1,1,0
-87.53382901,41.66880696,0,1,0,0,0,0,0,1,1,0
41.66376298,-87.53386698,1,1,0,0,0,1,0,1,1,1
